,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
0,11 days,1,BRFOR,NLRTM,"['20 OCT', ' 18:27', 'UTC-03:00']","['31 OCT', ' 15:00', 'UTC+01:00']",700,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM']]","['Hapag-Lloyd, MSC']"
1,16 days,2,BRFOR,BEANR,"['20 OCT', ' 18:27', 'UTC-03:00']","['5 NOV', ' 12:23', 'UTC+01:00']",755,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC']"
2,15 days,2,BRFOR,BEANR,"['20 OCT', ' 18:27', 'UTC-03:00']","['4 NOV', ' 16:00', 'UTC+01:00']",760,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd, W.E.C. Lines']"
3,23 days,2,BRFOR,BEANR,"['28 OCT', ' 06:27', 'UTC-03:00']","['19 NOV', ' 12:00', 'UTC+01:00']",780,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP'], ['LGP', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
4,11 days,2,BRFOR,BEANR,"['20 OCT', ' 18:27', 'UTC-03:00']","['31 OCT', ' 18:03', 'UTC+01:00']",795,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC']"
5,17 days,2,BRFOR,BEANR,"['24 OCT', ' 00:42', 'UTC-03:00']","['9 NOV', ' 06:00', 'UTC+01:00']",800,"[['FOR', 'PEC'], ['PEC', 'LPA'], ['LPA', 'ANR']]","['MSC', 'MSC']"
6,24 days,2,BRFOR,BEANR,"['20 OCT', ' 00:00', 'UTC-03:00']","['13 NOV', ' 00:00', 'UTC+01:00']",810,"[['FOR', 'NAT', 'VGO', 'LGP', 'RTM', 'LEH'], ['LEH', 'LEH'], ['LEH', 'ANR']]","['CMA CGM', 'CMA CGM, Evergreen']"
7,21 days,2,BRFOR,BEANR,"['4 NOV', ' 17:27', 'UTC-03:00']","['25 NOV', ' 06:00', 'UTC+01:00']",925,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP', 'BRV', 'HAM'], ['HAM', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
8,21 days,2,BRFOR,BEANR,"['24 OCT', ' 00:42', 'UTC-03:00']","['13 NOV', ' 21:47', 'UTC+01:00']",965,"[['FOR', 'PEC'], ['PEC', 'LPA', 'VLC'], ['VLC', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC']"
9,26 days,2,BRFOR,BEANR,"['18 OCT', ' 11:53', 'UTC-03:00']","['12 NOV', ' 23:00', 'UTC+01:00']",2020,"[['FOR', 'SUA'], ['SUA', 'CTB'], ['CTB', 'ANR']]","['MSC', 'MSC']"
10,22 days,3,BRFOR,BEANR,"['20 OCT', ' 18:27', 'UTC-03:00']","['11 NOV', ' 18:00', 'UTC+01:00']",900,"[['FOR', 'PEC'], ['PEC', 'PTM'], ['PTM', 'VGO'], ['VGO', 'RTM', 'ANR']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd, MSC, W.E.C. Lines']"
11,22 days,3,BRFOR,BEANR,"['20 OCT', ' 18:27', 'UTC-03:00']","['11 NOV', ' 18:00', 'UTC+01:00']",905,"[['FOR', 'PEC'], ['PEC', 'PTM'], ['PTM', 'LEI', 'VGO'], ['VGO', 'RTM', 'ANR']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd, MSC, W.E.C. Lines']"
12,18 days,3,BRFOR,BEANR,"['20 OCT', ' 18:27', 'UTC-03:00']","['7 NOV', ' 20:45', 'UTC+01:00']",1080,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ORK'], ['ORK', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC', 'MSC']"
13,11 days,2,BRFOR,NLVLI,"['20 OCT', ' 18:27', 'UTC-03:00']","['31 OCT', ' 17:11', 'UTC+01:00']",775,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'VLI']]","['Hapag-Lloyd, MSC']"
14,16 days,3,BRFOR,NLVLI,"['20 OCT', ' 18:27', 'UTC-03:00']","['5 NOV', ' 13:59', 'UTC+01:00']",815,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'MSC']"
15,15 days,3,BRFOR,NLVLI,"['20 OCT', ' 18:27', 'UTC-03:00']","['4 NOV', ' 17:36', 'UTC+01:00']",820,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd, W.E.C. Lines']"
16,23 days,3,BRFOR,NLVLI,"['28 OCT', ' 06:27', 'UTC-03:00']","['19 NOV', ' 13:32', 'UTC+01:00']",835,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP'], ['LGP', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
17,17 days,3,BRFOR,NLVLI,"['24 OCT', ' 00:42', 'UTC-03:00']","['9 NOV', ' 07:36', 'UTC+01:00']",860,"[['FOR', 'PEC'], ['PEC', 'LPA'], ['LPA', 'ANR'], ['ANR', 'VLI']]","['MSC', 'MSC']"
18,24 days,3,BRFOR,NLVLI,"['20 OCT', ' 00:00', 'UTC-03:00']","['13 NOV', ' 01:38', 'UTC+01:00']",870,"[['FOR', 'NAT', 'VGO', 'LGP', 'RTM', 'LEH'], ['LEH', 'LEH'], ['LEH', 'ANR'], ['ANR', 'VLI']]","['CMA CGM', 'CMA CGM, Evergreen']"
19,21 days,3,BRFOR,NLVLI,"['4 NOV', ' 17:27', 'UTC-03:00']","['25 NOV', ' 07:32', 'UTC+01:00']",980,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP', 'BRV', 'HAM'], ['HAM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
20,21 days,3,BRFOR,NLVLI,"['24 OCT', ' 00:42', 'UTC-03:00']","['13 NOV', ' 23:23', 'UTC+01:00']",1025,"[['FOR', 'PEC'], ['PEC', 'LPA', 'VLC'], ['VLC', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'MSC']"
21,26 days,3,BRFOR,NLVLI,"['18 OCT', ' 11:53', 'UTC-03:00']","['13 NOV', ' 00:36', 'UTC+01:00']",2080,"[['FOR', 'SUA'], ['SUA', 'CTB'], ['CTB', 'ANR'], ['ANR', 'VLI']]","['MSC', 'MSC']"
