,Origin,Destination,Departure time,Arrival time,Ports,Vessels,Dates
0,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,30 Nov 2022 15:30,04 Jan 2023 10:00,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['FORT DESAIX', '-', '-', '-', '-', '-'], ['MAERSK BRANI', '9409352', 'CLX', 'SG', '9V8208', '2010']]","['30 Nov 2022 15:30', '13 Dec 2022 12:30', '16 Dec 2022 14:30', '04 Jan 2023 10:00']"
1,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,07 Dec 2022 15:30,11 Jan 2023 10:00,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['JEPPESEN MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BATAM', '9355331', 'CLX', 'SG', '9VHF2', '2008']]","['07 Dec 2022 15:30', '20 Dec 2022 12:30', '23 Dec 2022 14:30', '11 Jan 2023 10:00']"
2,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,14 Dec 2022 15:30,18 Jan 2023 10:00,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['JENS MAERSK', '-', '-', '-', '-', '-'], ['SAFMARINE BENGUELA', '9355367', 'CLX', 'HK', 'VRLA3', '2009']]","['14 Dec 2022 15:30', '27 Dec 2022 12:30', '30 Dec 2022 14:30', '18 Jan 2023 10:00']"
3,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,21 Dec 2022 15:30,25 Jan 2023 10:00,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['FORT DESAIX', '-', '-', '-', '-', '-'], ['MAERSK BUTON', '9392925', 'CLX', 'SG', '9V7498', '2008']]","['21 Dec 2022 15:30', '03 Jan 2023 12:30', '06 Jan 2023 14:30', '25 Jan 2023 10:00']"
4,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,28 Dec 2022 15:30,01 Feb 2023 10:00,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['JEPPESEN MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BRATAN', '9394894', 'CLX', 'SG', '9V8044', '2009']]","['28 Dec 2022 15:30', '10 Jan 2023 12:30', '13 Jan 2023 14:30', '01 Feb 2023 10:00']"
5,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,30 Nov 2022 15:30,07 Jan 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Antwerp PSA Antwerp K913 Noordzee']","[['FORT DESAIX', '-', '-', '-', '-', '-'], ['MAERSK BATAM', '9355331', 'CLX', 'SG', '9VHF2', '2008']]","['30 Nov 2022 15:30', '06 Dec 2022 07:00', '10 Dec 2022 07:00', '07 Jan 2023 06:00']"
6,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,07 Dec 2022 15:30,14 Jan 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Antwerp PSA Antwerp K913 Noordzee']","[['JEPPESEN MAERSK', '-', '-', '-', '-', '-'], ['SAFMARINE BENGUELA', '9355367', 'CLX', 'HK', 'VRLA3', '2009']]","['07 Dec 2022 15:30', '13 Dec 2022 07:00', '17 Dec 2022 07:00', '14 Jan 2023 06:00']"
7,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,14 Dec 2022 15:30,21 Jan 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Antwerp PSA Antwerp K913 Noordzee']","[['JENS MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BUTON', '9392925', 'CLX', 'SG', '9V7498', '2008']]","['14 Dec 2022 15:30', '20 Dec 2022 07:00', '24 Dec 2022 07:00', '21 Jan 2023 06:00']"
8,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,21 Dec 2022 15:30,28 Jan 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Antwerp PSA Antwerp K913 Noordzee']","[['FORT DESAIX', '-', '-', '-', '-', '-'], ['MAERSK BRATAN', '9394894', 'CLX', 'SG', '9V8044', '2009']]","['21 Dec 2022 15:30', '27 Dec 2022 07:00', '31 Dec 2022 07:00', '28 Jan 2023 06:00']"
9,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,28 Dec 2022 15:30,06 Feb 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Antwerp PSA Antwerp K913 Noordzee']","[['JEPPESEN MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BALI', '9394870', 'CLX', 'SG', '9V7499', '2008']]","['28 Dec 2022 15:30', '03 Jan 2023 07:00', '05 Jan 2023 07:00', '06 Feb 2023 06:00']"
