,ScrapingDate,ScrapingSite,Origin,Destination,OriginName,DestinationName,EstimatedDepartureTime,EstimatedArrivalTime,EstimatedTotalTransitTimeDays,EstimatedTotalTransitTimeHours,TotalCO2EmissionsKg,TotalDistanceMeters,CutOffs,NumberOfLegs,Legs
0,2023-05-22,Maersk,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,2023-05-25 08:30:00,2023-07-19 10:00:00,55 days,,,,,,"{'1': {'OriginName': 'Arica Terminal Puerto Arica (TPA)', 'DestinationName': 'Callao APM Terminals in Callao Port', 'Vessel': {'vessel_name': 'POLAR ARGENTINA', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '2023-05-25 08:30:00', 'EstimatedArrivalTime': '2023-06-09 23:00:00'}, '2': {'OriginName': 'Callao APM Terminals in Callao Port', 'DestinationName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'Vessel': {'vessel_name': 'MAERSK BRATAN', 'imo': '9394894', 'flag': 'SG', 'build_year_ship': '2009', 'service': 'CLX', 'callsign': '9V8044'}, 'EstimatedDepartureTime': '2023-06-17 07:00:00', 'EstimatedArrivalTime': '2023-07-17 00:01:00'}, '3': {'OriginName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'DestinationName': 'Amsterdam Container Terminal Vrede Amsterdam', 'Vessel': {'vessel_name': 'barge', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '2023-07-18 20:00:00', 'EstimatedArrivalTime': '2023-07-19 10:00:00'}}"
1,2023-05-22,Maersk,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,2023-06-01 08:30:00,2023-07-26 10:00:00,55 days,,,,,,"{'1': {'OriginName': 'Arica Terminal Puerto Arica (TPA)', 'DestinationName': 'Callao APM Terminals in Callao Port', 'Vessel': {'vessel_name': 'FORT DESAIX', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '2023-06-01 08:30:00', 'EstimatedArrivalTime': '2023-06-16 23:00:00'}, '2': {'OriginName': 'Callao APM Terminals in Callao Port', 'DestinationName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'Vessel': {'vessel_name': 'POLAR CHILE', 'imo': '9797187', 'flag': 'LR', 'build_year_ship': '2018', 'service': 'CLX', 'callsign': 'D5PH8'}, 'EstimatedDepartureTime': '2023-06-24 07:00:00', 'EstimatedArrivalTime': '2023-07-24 00:01:00'}, '3': {'OriginName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'DestinationName': 'Amsterdam Container Terminal Vrede Amsterdam', 'Vessel': {'vessel_name': 'barge', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '2023-07-25 20:00:00', 'EstimatedArrivalTime': '2023-07-26 10:00:00'}}"
2,2023-05-22,Maersk,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,2023-06-08 08:30:00,2023-08-02 10:00:00,55 days,,,,,,"{'1': {'OriginName': 'Arica Terminal Puerto Arica (TPA)', 'DestinationName': 'Callao APM Terminals in Callao Port', 'Vessel': {'vessel_name': 'POLAR COLOMBIA', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '2023-06-08 08:30:00', 'EstimatedArrivalTime': '2023-06-23 23:00:00'}, '2': {'OriginName': 'Callao APM Terminals in Callao Port', 'DestinationName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'Vessel': {'vessel_name': 'MAERSK BATUR', 'imo': '9402029', 'flag': 'SG', 'build_year_ship': '2009', 'service': 'CLX', 'callsign': '9V8207'}, 'EstimatedDepartureTime': '2023-07-01 07:00:00', 'EstimatedArrivalTime': '2023-07-31 00:01:00'}, '3': {'OriginName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'DestinationName': 'Amsterdam Container Terminal Vrede Amsterdam', 'Vessel': {'vessel_name': 'barge', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '2023-08-01 20:00:00', 'EstimatedArrivalTime': '2023-08-02 10:00:00'}}"
3,2023-05-22,Maersk,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,2023-06-15 08:30:00,2023-08-09 10:00:00,55 days,,,,,,"{'1': {'OriginName': 'Arica Terminal Puerto Arica (TPA)', 'DestinationName': 'Callao APM Terminals in Callao Port', 'Vessel': {'vessel_name': 'JPO LIBRA', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '2023-06-15 08:30:00', 'EstimatedArrivalTime': '2023-06-30 23:00:00'}, '2': {'OriginName': 'Callao APM Terminals in Callao Port', 'DestinationName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'Vessel': {'vessel_name': 'MAERSK BINTAN', 'imo': '9355288', 'flag': 'HK', 'build_year_ship': '2008', 'service': 'CLX', 'callsign': 'VROX4'}, 'EstimatedDepartureTime': '2023-07-08 07:00:00', 'EstimatedArrivalTime': '2023-08-07 00:01:00'}, '3': {'OriginName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'DestinationName': 'Amsterdam Container Terminal Vrede Amsterdam', 'Vessel': {'vessel_name': 'barge', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '2023-08-08 20:00:00', 'EstimatedArrivalTime': '2023-08-09 10:00:00'}}"
4,2023-05-22,Maersk,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,2023-06-22 08:30:00,2023-08-16 10:00:00,55 days,,,,,,"{'1': {'OriginName': 'Arica Terminal Puerto Arica (TPA)', 'DestinationName': 'Callao APM Terminals in Callao Port', 'Vessel': {'vessel_name': 'POLAR ARGENTINA', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '2023-06-22 08:30:00', 'EstimatedArrivalTime': '2023-07-07 23:00:00'}, '2': {'OriginName': 'Callao APM Terminals in Callao Port', 'DestinationName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'Vessel': {'vessel_name': 'MAERSK BRANI', 'imo': '9409352', 'flag': 'SG', 'build_year_ship': '2010', 'service': 'CLX', 'callsign': '9V8208'}, 'EstimatedDepartureTime': '2023-07-15 07:00:00', 'EstimatedArrivalTime': '2023-08-14 00:01:00'}, '3': {'OriginName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'DestinationName': 'Amsterdam Container Terminal Vrede Amsterdam', 'Vessel': {'vessel_name': 'barge', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '2023-08-15 20:00:00', 'EstimatedArrivalTime': '2023-08-16 10:00:00'}}"
5,2023-05-22,Maersk,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,2023-06-29 08:30:00,2023-08-30 10:00:00,62 days,,,,,,"{'1': {'OriginName': 'Arica Terminal Puerto Arica (TPA)', 'DestinationName': 'Callao APM Terminals in Callao Port', 'Vessel': {'vessel_name': 'POLAR PERU', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '2023-06-29 08:30:00', 'EstimatedArrivalTime': '2023-07-14 23:00:00'}, '2': {'OriginName': 'Callao APM Terminals in Callao Port', 'DestinationName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'Vessel': {'vessel_name': 'SAFMARINE BENGUELA', 'imo': '9355367', 'flag': 'HK', 'build_year_ship': '2009', 'service': 'CLX', 'callsign': 'VRLA3'}, 'EstimatedDepartureTime': '2023-07-29 07:00:00', 'EstimatedArrivalTime': '2023-08-28 00:01:00'}, '3': {'OriginName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'DestinationName': 'Amsterdam Container Terminal Vrede Amsterdam', 'Vessel': {'vessel_name': 'barge', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '2023-08-29 20:00:00', 'EstimatedArrivalTime': '2023-08-30 10:00:00'}}"
6,2023-05-22,Maersk,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,2023-07-06 08:30:00,2023-08-30 10:00:00,55 days,,,,,,"{'1': {'OriginName': 'Arica Terminal Puerto Arica (TPA)', 'DestinationName': 'Callao APM Terminals in Callao Port', 'Vessel': {'vessel_name': 'POLAR COLOMBIA', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '2023-07-06 08:30:00', 'EstimatedArrivalTime': '2023-07-21 23:00:00'}, '2': {'OriginName': 'Callao APM Terminals in Callao Port', 'DestinationName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'Vessel': {'vessel_name': 'SAFMARINE BENGUELA', 'imo': '9355367', 'flag': 'HK', 'build_year_ship': '2009', 'service': 'CLX', 'callsign': 'VRLA3'}, 'EstimatedDepartureTime': '2023-07-29 07:00:00', 'EstimatedArrivalTime': '2023-08-28 00:01:00'}, '3': {'OriginName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'DestinationName': 'Amsterdam Container Terminal Vrede Amsterdam', 'Vessel': {'vessel_name': 'barge', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '2023-08-29 20:00:00', 'EstimatedArrivalTime': '2023-08-30 10:00:00'}}"
7,2023-05-22,Maersk,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,2023-07-13 08:30:00,2023-09-06 10:00:00,55 days,,,,,,"{'1': {'OriginName': 'Arica Terminal Puerto Arica (TPA)', 'DestinationName': 'Callao APM Terminals in Callao Port', 'Vessel': {'vessel_name': 'JPO LIBRA', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '2023-07-13 08:30:00', 'EstimatedArrivalTime': '2023-07-28 23:00:00'}, '2': {'OriginName': 'Callao APM Terminals in Callao Port', 'DestinationName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'Vessel': {'vessel_name': 'JPO PISCES', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': 'CLX', 'callsign': ''}, 'EstimatedDepartureTime': '2023-08-05 07:00:00', 'EstimatedArrivalTime': '2023-09-04 00:01:00'}, '3': {'OriginName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'DestinationName': 'Amsterdam Container Terminal Vrede Amsterdam', 'Vessel': {'vessel_name': 'barge', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '2023-09-05 20:00:00', 'EstimatedArrivalTime': '2023-09-06 10:00:00'}}"
8,2023-05-22,Maersk,Arica Terminal Puerto Arica (TPA),Antwerp Antwerp Belgian New Fruit Terminal,Arica Terminal Puerto Arica (TPA),Antwerp Antwerp Belgian New Fruit Terminal,2023-05-25 08:30:00,2023-07-23 22:00:00,60 days,,,,,,"{'1': {'OriginName': 'Arica Terminal Puerto Arica (TPA)', 'DestinationName': 'Callao APM Terminals in Callao Port', 'Vessel': {'vessel_name': 'POLAR ARGENTINA', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '2023-05-25 08:30:00', 'EstimatedArrivalTime': '2023-06-09 23:00:00'}, '2': {'OriginName': 'Callao APM Terminals in Callao Port', 'DestinationName': 'Manzanillo Manzanillo Terminal', 'Vessel': {'vessel_name': 'MAERSK BRATAN', 'imo': '9394894', 'flag': 'SG', 'build_year_ship': '2009', 'service': 'CLX', 'callsign': '9V8044'}, 'EstimatedDepartureTime': '2023-06-17 07:00:00', 'EstimatedArrivalTime': '2023-07-01 19:00:00'}, '3': {'OriginName': 'Manzanillo Manzanillo Terminal', 'DestinationName': 'Antwerp Antwerp Belgian New Fruit Terminal', 'Vessel': {'vessel_name': 'EVRIDIKI G', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '2023-07-07 06:00:00', 'EstimatedArrivalTime': '2023-07-23 22:00:00'}}"
9,2023-05-22,Maersk,Arica Terminal Puerto Arica (TPA),Antwerp Antwerp Belgian New Fruit Terminal,Arica Terminal Puerto Arica (TPA),Antwerp Antwerp Belgian New Fruit Terminal,2023-06-01 08:30:00,2023-07-30 22:00:00,60 days,,,,,,"{'1': {'OriginName': 'Arica Terminal Puerto Arica (TPA)', 'DestinationName': 'Callao APM Terminals in Callao Port', 'Vessel': {'vessel_name': 'FORT DESAIX', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '2023-06-01 08:30:00', 'EstimatedArrivalTime': '2023-06-16 23:00:00'}, '2': {'OriginName': 'Callao APM Terminals in Callao Port', 'DestinationName': 'Manzanillo Manzanillo Terminal', 'Vessel': {'vessel_name': 'POLAR CHILE', 'imo': '9797187', 'flag': 'LR', 'build_year_ship': '2018', 'service': 'CLX', 'callsign': 'D5PH8'}, 'EstimatedDepartureTime': '2023-06-24 07:00:00', 'EstimatedArrivalTime': '2023-07-08 19:00:00'}, '3': {'OriginName': 'Manzanillo Manzanillo Terminal', 'DestinationName': 'Antwerp Antwerp Belgian New Fruit Terminal', 'Vessel': {'vessel_name': 'MAERSK BAHAMAS', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '2023-07-14 06:00:00', 'EstimatedArrivalTime': '2023-07-30 22:00:00'}}"
