,Origin,Departure port,Departure terminal,Destination,Arrival port,Arrival terminal,Departure time,Arrival time,Transit time,Service name,CO2 footprint,Vessel name,Voyage no.,Vessel build year,Vessel flag,Vessel imo code
0,BRSSZ,,,NLRTM,,,,,,,,,,,,
1,BRSSZ,,,NLRTM,,,,,,,,,,,,
2,BRSSZ,SANTOS,DP WORLD SANTOS,NLRTM,ROTTERDAM,ECT DELTA MARINE TERMINAL (DMT),Mon 14th Nov 2022 03:00,Thu 1st Dec 2022 14:15,17 days,NWC TO SAEC - STRING I,0.7926 Tons,CZECH,NA244R,2015,MALTA,9723241
3,BRSSZ,SANTOS,BRASIL TERMINAL PORTUARIO S/A,NLRTM,ROTTERDAM,ECT DELTA MARINE TERMINAL (DMT),Sun 20th Nov 2022 08:00,Thu 8th Dec 2022 14:00,18 days,NWC TO SAEC - STRING I,0.7926 Tons,MSC ATHENS,NA245R,2013,MALTA,9618305
4,BRSSZ,SANTOS,BRASIL TERMINAL PORTUARIO S/A,NLRTM,ROTTERDAM,ECT DELTA MARINE TERMINAL (DMT),Sat 26th Nov 2022 09:00,Wed 14th Dec 2022 15:00,18 days,NWC TO SAEC - STRING I,0.7926 Tons,MSC PALAK,NA246R,2016,PORTUGAL,9735206
5,BRSSZ,SANTOS,BRASIL TERMINAL PORTUARIO S/A,NLRTM,ROTTERDAM,ECT DELTA MARINE TERMINAL (DMT),Fri 2nd Dec 2022 19:00,Wed 21st Dec 2022 15:00,19 days,NWC TO SAEC - STRING I,0.7926 Tons,HUNGARY,NA247R,2015,MALTA,9723253
6,BRSSZ,SANTOS,BRASIL TERMINAL PORTUARIO S/A,NLRTM,ROTTERDAM,ECT DELTA MARINE TERMINAL (DMT),Fri 16th Dec 2022 08:00,Wed 4th Jan 2023 15:00,19 days,NWC TO SAEC - STRING I,0.7926 Tons,MSC CHLOE,NA249R,2016,PORTUGAL,9720483
7,BRSSZ,SANTOS,BRASIL TERMINAL PORTUARIO S/A,NLRTM,ROTTERDAM,ECT DELTA MARINE TERMINAL (DMT),Fri 23rd Dec 2022 08:00,Wed 11th Jan 2023 15:00,19 days,NWC TO SAEC - STRING I,0.7926 Tons,UASC ZAMZAM,NA250R,2014,DENMARK,9699127
8,BRSSZ,SANTOS,BRASIL TERMINAL PORTUARIO S/A,NLRTM,ROTTERDAM,ECT DELTA MARINE TERMINAL (DMT),Fri 30th Dec 2022 08:00,Wed 18th Jan 2023 15:00,19 days,NWC TO SAEC - STRING I,0.7926 Tons,MSC MICHELA,NA251R,2016,PORTUGAL,9720512
9,BRSSZ,SANTOS,BRASIL TERMINAL PORTUARIO S/A,NLRTM,ROTTERDAM,ECT DELTA MARINE TERMINAL (DMT),Fri 6th Jan 2023 08:00,Wed 25th Jan 2023 15:00,19 days,NWC TO SAEC - STRING I,0.7926 Tons,PARANAGUA EXPRESS,NA252R,2017,SINGAPORE,9786724
10,BRSSZ,,,BEANR,,,,,,,,,,,,
11,BRSSZ,,,BEANR,,,,,,,,,,,,
12,BRSSZ,SANTOS,DP WORLD SANTOS,BEANR,ANTWERP,MPET K1742 DEURGANCK TERMINAL,Mon 14th Nov 2022 03:00,Fri 9th Dec 2022 14:00,25 days,NWC TO SAEC - STRING I,0.8793 Tons,CZECH,NA244R,2015,MALTA,9723241
13,BRSSZ,SANTOS,BRASIL TERMINAL PORTUARIO S/A,BEANR,ANTWERP,MPET K1742 DEURGANCK TERMINAL,Sun 20th Nov 2022 08:00,Fri 16th Dec 2022 14:00,26 days,NWC TO SAEC - STRING I,0.8793 Tons,MSC ATHENS,NA245R,2013,MALTA,9618305
14,BRSSZ,SANTOS,BRASIL TERMINAL PORTUARIO S/A,BEANR,ANTWERP,MPET K1742 DEURGANCK TERMINAL,Sat 26th Nov 2022 09:00,Fri 23rd Dec 2022 14:00,27 days,NWC TO SAEC - STRING I,0.8793 Tons,MSC PALAK,NA246R,2016,PORTUGAL,9735206
15,BRSSZ,SANTOS,BRASIL TERMINAL PORTUARIO S/A,BEANR,ANTWERP,MPET K1742 DEURGANCK TERMINAL,Fri 2nd Dec 2022 19:00,Fri 30th Dec 2022 14:00,28 days,NWC TO SAEC - STRING I,0.8793 Tons,HUNGARY,NA247R,2015,MALTA,9723253
16,BRSSZ,SANTOS,BRASIL TERMINAL PORTUARIO S/A,BEANR,ANTWERP,MPET K1742 DEURGANCK TERMINAL,Fri 16th Dec 2022 08:00,Fri 13th Jan 2023 14:00,28 days,NWC TO SAEC - STRING I,0.8793 Tons,MSC CHLOE,NA249R,2016,PORTUGAL,9720483
17,BRSSZ,SANTOS,BRASIL TERMINAL PORTUARIO S/A,BEANR,ANTWERP,MPET K1742 DEURGANCK TERMINAL,Fri 23rd Dec 2022 08:00,Fri 20th Jan 2023 14:00,28 days,NWC TO SAEC - STRING I,0.8793 Tons,UASC ZAMZAM,NA250R,2014,DENMARK,9699127
18,BRSSZ,SANTOS,BRASIL TERMINAL PORTUARIO S/A,BEANR,ANTWERP,MPET K1742 DEURGANCK TERMINAL,Fri 30th Dec 2022 08:00,Fri 27th Jan 2023 14:00,28 days,NWC TO SAEC - STRING I,0.8793 Tons,MSC MICHELA,NA251R,2016,PORTUGAL,9720512
19,BRSSZ,SANTOS,BRASIL TERMINAL PORTUARIO S/A,BEANR,ANTWERP,MPET K1742 DEURGANCK TERMINAL,Fri 6th Jan 2023 08:00,Fri 3rd Feb 2023 14:00,28 days,NWC TO SAEC - STRING I,0.8793 Tons,PARANAGUA EXPRESS,NA252R,2017,SINGAPORE,9786724
20,BRSSZ,,,NLAMS,,,,,,,,,,,,
21,BRSSZ,,,NLAMS,,,,,,,,,,,,
22,BRSSZ,,,NLAMS,,,,,21 days,,0.8034 Tons,,,,,
23,BRSSZ,,,NLAMS,,,,,22 days,,0.8034 Tons,,,,,
24,BRSSZ,,,NLAMS,,,,,22 days,,0.8034 Tons,,,,,
25,BRSSZ,,,NLAMS,,,,,23 days,,0.8034 Tons,,,,,
26,BRSSZ,,,NLAMS,,,,,23 days,,0.8034 Tons,,,,,
27,BRSSZ,,,NLAMS,,,,,23 days,,0.8034 Tons,,,,,
28,BRSSZ,,,NLAMS,,,,,23 days,,0.8034 Tons,,,,,
29,BRSSZ,,,NLAMS,,,,,23 days,,0.8034 Tons,,,,,
30,BRPEC,,,BEANR,,,,,,,,,,,,
31,BRPEC,,,BEANR,,,,,,,,,,,,
32,BRPEC,PECEM,APM TERMINALS PECEM,BEANR,ANTWERP,MPET K1742 DEURGANCK TERMINAL,Sat 12th Nov 2022 05:00,Fri 2nd Dec 2022 14:00,20 days,NWC TO SAEC - STRING I,0.6315 Tons,MSC SOFIA CELESTE,NA243R,2015,PORTUGAL,9702091
33,BRPEC,PECEM,APM TERMINALS PECEM,BEANR,ANTWERP,MPET K1742 DEURGANCK TERMINAL,Sun 20th Nov 2022 17:00,Fri 9th Dec 2022 14:00,19 days,NWC TO SAEC - STRING I,0.6315 Tons,CZECH,NA244R,2015,MALTA,9723241
34,BRPEC,PECEM,APM TERMINALS PECEM,BEANR,ANTWERP,MPET K1742 DEURGANCK TERMINAL,Mon 28th Nov 2022 01:00,Fri 16th Dec 2022 14:00,18 days,NWC TO SAEC - STRING I,0.6315 Tons,MSC ATHENS,NA245R,2013,MALTA,9618305
35,BRPEC,PECEM,APM TERMINALS PECEM,BEANR,ANTWERP,MPET K1742 DEURGANCK TERMINAL,Sat 3rd Dec 2022 01:00,Fri 23rd Dec 2022 14:00,20 days,NWC TO SAEC - STRING I,0.6315 Tons,MSC PALAK,NA246R,2016,PORTUGAL,9735206
36,BRPEC,PECEM,APM TERMINALS PECEM,BEANR,ANTWERP,MPET K1742 DEURGANCK TERMINAL,Sat 10th Dec 2022 01:00,Fri 30th Dec 2022 14:00,20 days,NWC TO SAEC - STRING I,0.6315 Tons,HUNGARY,NA247R,2015,MALTA,9723253
37,BRPEC,PECEM,APM TERMINALS PECEM,BEANR,ANTWERP,MPET K1742 DEURGANCK TERMINAL,Sat 24th Dec 2022 01:00,Fri 13th Jan 2023 14:00,20 days,NWC TO SAEC - STRING I,0.6315 Tons,MSC CHLOE,NA249R,2016,PORTUGAL,9720483
38,BRPEC,PECEM,APM TERMINALS PECEM,BEANR,ANTWERP,MPET K1742 DEURGANCK TERMINAL,Sat 31st Dec 2022 01:00,Fri 20th Jan 2023 14:00,20 days,NWC TO SAEC - STRING I,0.6315 Tons,UASC ZAMZAM,NA250R,2014,DENMARK,9699127
39,BRPEC,,,BEZEE,,,,,,,,,,,,
40,BRPEC,,,BEZEE,,,,,,,,,,,,
41,BRPEC,,,BEZEE,,,,,22 days,,0.6322 Tons,,,,,
42,BRPEC,,,BEZEE,,,,,21 days,,0.6322 Tons,,,,,
43,BRPEC,,,BEZEE,,,,,20 days,,0.6322 Tons,,,,,
44,BRPEC,,,BEZEE,,,,,22 days,,0.6322 Tons,,,,,
45,BRPEC,,,BEZEE,,,,,22 days,,0.6322 Tons,,,,,
46,BRPEC,,,BEZEE,,,,,22 days,,0.6322 Tons,,,,,
47,BRPEC,,,BEZEE,,,,,22 days,,0.6322 Tons,,,,,
48,BRPEC,,,NLAMS,,,,,,,,,,,,
49,BRPEC,,,NLAMS,,,,,,,,,,,,
50,BRPEC,,,NLAMS,,,,,35 days,,1.0911 Tons,,,,,
51,BRPEC,,,NLAMS,,,,,33 days,,1.0911 Tons,,,,,
52,BRPEC,,,NLAMS,,,,,33 days,,1.0911 Tons,,,,,
53,BRPEC,,,NLAMS,,,,,35 days,,1.0911 Tons,,,,,
54,BRPEC,,,NLAMS,,,,,35 days,,1.0911 Tons,,,,,
