,Company,Origin,Destination,Service Code,Duration,Frequency
0,MSC,BRRIG,NLRTM,NWC TO SAEC - STRING I,25 days,
1,Hamburg Sud,BRPNG,NLRTM,SOUTH AMERICA EAST COAST -- NORTH EUROPE SLING 1 (SAEC1),21 days,
2,MSC,BRPNG,NLRTM,NWC TO SAEC - STRING I,21 days,1 time per week
3,Hapag-Lloyd,BRPNG,NLRTM,ECX-EUROPE EAST COAST EXPRESS,20 - 21 days,1 time per week
4,CMA CGM,BRSSZ,NLRTM,SOUTH AMERICA FR. NORTH EUR. PLATE SLING,19 days,
5,Maersk,BRPNG,NLRTM,NEOSAMBA,21 days,
6,Hapag-Lloyd,BRPEC,NLRTM,ECX-EUROPE EAST COAST EXPRESS,10 - 11 days,1 time per week
7,MSC,BRRIO,NLRTM,NWC TO SAEC - STRING I,18 days,
8,Hapag-Lloyd,BRITJ,NLRTM,ECX-EUROPE EAST COAST EXPRESS,21 - 22 days,
9,CMA CGM,BRNAT,NLRTM,North Europe French Guiana North Brazil,15 days,
10,MSC,BRRIO,NLRTM,NWC TO SAEC - STRING I,17 - 18 days,1 time per week
11,Hapag-Lloyd,BRRIG,NLRTM,ECX-EUROPE EAST COAST EXPRESS,24 - 25 days,
12,Hapag-Lloyd,BRSSZ,NLRTM,ECX-EUROPE EAST COAST EXPRESS,18 - 19 days,1 time per week
13,Maersk,BRSSZ,NLRTM,NEOSAMBA,19 days,
14,MSC,BRSSA,NLRTM,NWC TO SAEC - STRING I,13 - 14 days,1 time per week
15,MSC,BRSSZ,NLRTM,NWC TO SAEC - STRING I,19 days,
16,Maersk,BRPNG,NLRTM,NEOSAMBA,21 days,
17,CMA CGM,BRFOR,NLRTM,North Europe French Guiana North Brazil,17 days,
18,Hamburg Sud,BRSSZ,NLRTM,SOUTH AMERICA EAST COAST -- NORTH EUROPE SLING 1 (SAEC1),19 days,
19,CMA CGM,BRPNG,NLRTM,SOUTH AMERICA FR. NORTH EUR. PLATE SLING,21 days,
20,Hamburg Sud,BRPNG,BEANR,SOUTH AMERICA EAST COAST -- NORTH EUROPE SLING 1 (SAEC1),27 days,
21,Maersk,BRSSZ,BEANR,NEOSAMBA,25 days,
22,CMA CGM,BRSSZ,BEANR,SOUTH AMERICA FR. NORTH EUR. PLATE SLING,25 days,
23,Maersk,BRPNG,BEANR,NEOSAMBA,27 days,
24,MSC,BRRIO,BEANR,NWC TO SAEC - STRING I,27 days,1 time per week
25,CMA CGM,BRPNG,BEANR,SOUTH AMERICA FR. NORTH EUR. PLATE SLING,27 days,
26,Maersk,BRSSZ,BEANR,NEOSAMBA,25 days,
27,MSC,BRITJ,BEANR,NWC TO SAEC - STRING I,31 days,1 time per week
28,Hamburg Sud,BRPNG,BEANR,SOUTH AMERICA EAST COAST -- NORTH EUROPE SLING 1 (SAEC1),27 days,
29,Hamburg Sud,BRSSZ,BEANR,SOUTH AMERICA EAST COAST -- NORTH EUROPE SLING 1 (SAEC1),25 days,
30,CMA CGM,BRSSZ,BEANR,SOUTH AMERICA FR. NORTH EUR. PLATE SLING,25 days,
31,Maersk,BRPNG,BEANR,NEOSAMBA,27 days,
32,Hamburg Sud,BRSSZ,BEANR,SOUTH AMERICA EAST COAST -- NORTH EUROPE SLING 1 (SAEC1),25 days,
33,CMA CGM,BRPNG,BEANR,SOUTH AMERICA FR. NORTH EUR. PLATE SLING,27 days,
34,OOCL,COCTG,NLRTM,EUROPE WEST COSTAL OF SOUTH AMERICA EXPRESS,12 days,1 time per week
35,COSCO,COCTG,NLRTM,Europe WCSA (EWX),12 days,1 time per week
36,Seatrade,COTRB,NLVLI,Caribanex Reefers Service,13 days,1 time per week
37,Geest Line,COSMR,NLVLI,Geest Line 4 weeks -ex St.George & Roseau,12 days,
38,Hapag-Lloyd,COCTG,NLRTM,SWX-SOUTH AMERICA WEST COAST EXPRESS,12 days,1 time per week
39,CMA CGM,COCTG,NLRTM,CALIFORNIA BRIDGE,17 days,
40,YML,COCTG,NLRTM,AL5,21 days,
41,Hapag-Lloyd,COCTG,NLRTM,AL5-ATLANTIC LOOP 5,15 - 18 days,1 time per week
42,Hapag-Lloyd,COSMR,NLRTM,CES-CARIBBEAN EXPRESS SERVICE,17 days,1 time per week
43,Geest Line,COSMR,NLVLI,"Geest Line 4 weeks -ex St.George, Roseau & Baseterre",12 days,
44,Maersk,COCTG,NLRTM,EUROSAL,12 days,
45,Seatrade,COSMR,NLVLI,Caribanex Reefers Service,12 days,1 time per week
46,CMA CGM,COCTG,NLRTM,EUROSAL XL,12 days,
47,ONE,COCTG,NLRTM,ATLANTIC 5 (AL5),17 days,
48,Seatrade,COTRB,NLVLI,Zodiac Reefer Service,18 days,1 time per week
