,Lead time,Transfers,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
0,26 days,1,14 OCT -  17:00UTC-03:00,9 NOV -  08:00UTC+01:00,1060,"['PNG', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM']","['Hapag-Lloyd, ONE', 'Hapag-Lloyd, MSC']"
1,28 days,1,14 OCT -  05:28UTC-03:00,11 NOV -  00:00UTC+01:00,1500,"['PNG', 'SSZ', 'PTM', 'TNG', 'LGP']","['CMA CGM, Hamburg Sud, Maersk']"
2,36 days,1,18 OCT -  02:00UTC-03:00,22 NOV -  16:40UTC+01:00,1725,"['PNG', 'ITJ', 'SSZ', 'RIO', 'SSA', 'SUA']","['MSC', 'MSC']"
3,32 days,1,14 OCT -  17:00UTC-03:00,15 NOV -  07:00UTC+01:00,1785,"['ITJ', 'SSZ', 'RIO', 'CAU']","['Hapag-Lloyd, MSC, ONE', 'COSCO, Hapag-Lloyd, OOCL']"
4,34 days,2,15 OCT -  16:00UTC-03:00,18 NOV -  00:41UTC+01:00,1205,"['ITJ', 'PNG', 'SSZ', 'RIO', 'SSA', 'PEC']","['Hapag-Lloyd', 'Hapag-Lloyd']"
5,37 days,2,17 OCT -  12:33UTC-03:00,23 NOV -  11:51UTC+01:00,1505,[],['MSC']
6,35 days,2,18 OCT -  02:00UTC-03:00,21 NOV -  09:26UTC+01:00,1975,"['PNG', 'ITJ', 'SSZ', 'RIO', 'SSA', 'SUA', 'CTB']","['MSC', 'MSC']"
7,34 days,1,15 OCT -  16:00UTC-03:00,18 NOV -  16:00UTC+01:00,1075,"['ITJ', 'PNG', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM']","['Hapag-Lloyd, MSC', 'Hapag-Lloyd, W.E.C. Lines']"
8,35 days,1,15 OCT -  16:00UTC-03:00,19 NOV -  12:00UTC+01:00,1095,"['ITJ', 'PNG', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM', 'RTM']","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
9,25 days,1,15 OCT -  16:00UTC-03:00,9 NOV -  11:03UTC+01:00,1110,"['ITJ', 'PNG', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM']","['Hapag-Lloyd, MSC']"
10,34 days,1,15 OCT -  16:00UTC-03:00,17 NOV -  22:00UTC+01:00,1120,"['ITJ', 'PNG', 'SSZ', 'RIO', 'SSA', 'PEC']","['Hapag-Lloyd', 'Hapag-Lloyd']"
11,34 days,1,22 OCT -  20:00UTC-03:00,25 NOV -  06:00UTC+01:00,1230,"['ITJ', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM', 'RTM', 'LGP']","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
12,37 days,1,17 OCT -  12:33UTC-03:00,23 NOV -  09:00UTC+01:00,1415,[],['MSC']
13,34 days,1,14 OCT -  05:28UTC-03:00,17 NOV -  00:00UTC+01:00,1605,"['PNG', 'SSZ', 'PTM', 'TNG', 'LGP', 'RTM', 'HAM']","['CMA CGM, Hamburg Sud, Maersk']"
14,35 days,2,14 OCT -  17:00UTC-03:00,18 NOV -  16:00UTC+01:00,1120,"['PNG', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM']","['Hapag-Lloyd, ONE', 'Hapag-Lloyd, MSC', 'Hapag-Lloyd, W.E.C. Lines']"
15,32 days,2,15 OCT -  16:00UTC-03:00,16 NOV -  02:00UTC+01:00,1395,"['ITJ', 'PNG', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM']","['Hapag-Lloyd, MSC', 'MSC', 'MSC']"
16,28 days,2,17 OCT -  12:28UTC-03:00,14 NOV -  09:00UTC+01:00,1570,[],"['MSC', 'MSC']"
17,28 days,2,14 OCT -  05:28UTC-03:00,11 NOV -  03:04UTC+01:00,1600,"['PNG', 'SSZ', 'PTM', 'TNG', 'LGP']","['CMA CGM, Hamburg Sud, Maersk']"
18,33 days,2,15 OCT -  13:27UTC-03:00,17 NOV -  00:00UTC+01:00,1690,"['SSZ', 'PTM', 'TNG', 'LGP', 'RTM', 'HAM']","['COSCO, Maersk', 'CMA CGM, Hamburg Sud, Maersk']"
19,34 days,2,17 OCT -  12:28UTC-03:00,20 NOV -  07:30UTC+01:00,1725,[],"['MSC', 'MSC']"
20,36 days,2,24 OCT -  09:27UTC-03:00,29 NOV -  12:00UTC+01:00,1845,"['SSZ', 'RIO', 'SSA', 'PEC', 'PTM', 'RTM', 'LGP', 'HAM']","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
21,26 days,2,14 OCT -  17:00UTC-03:00,9 NOV -  10:11UTC+01:00,1135,"['PNG', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM']","['Hapag-Lloyd, ONE', 'Hapag-Lloyd, MSC']"
22,34 days,2,15 OCT -  16:00UTC-03:00,18 NOV -  17:36UTC+01:00,1135,"['ITJ', 'PNG', 'SSZ', 'RIO', 'SSA', 'PEC', 'PTM']","['Hapag-Lloyd, MSC', 'Hapag-Lloyd, W.E.C. Lines']"
