,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
0,12 days,1,BRFOR,NLRTM,"['28 OCT', ' 19:44', 'UTC-03:00']","['9 NOV', ' 11:17', 'UTC+01:00']",700,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM']]","['Hapag-Lloyd, MSC']"
1,25 days,1,BRFOR,NLRTM,"['29 OCT', ' 00:00', 'UTC-03:00']","['22 NOV', ' 07:00', 'UTC+01:00']",1335,"[['FOR', 'PTP', 'CTG'], ['CTG', 'CAU', 'RTM']]","['CMA CGM', 'CMA CGM, COSCO, Hapag-Lloyd, OOCL']"
2,28 days,1,BRFOR,BEANR,"['27 OCT', ' 00:00', 'UTC-03:00']","['24 NOV', ' 00:00', 'UTC+01:00']",835,"[['FOR', 'NAT', 'VGO', 'LGP', 'RTM'], ['RTM', 'SOU', 'ANR']]","['CMA CGM', 'CMA CGM, COSCO, Evergreen, OOCL']"
3,21 days,1,BRFOR,BEANR,"['11 NOV', ' 23:27', 'UTC-03:00']","['2 DEC', ' 14:00', 'UTC+01:00']",850,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP', 'HAM', 'BRV', 'ANR']]","['Hapag-Lloyd, MSC']"
4,16 days,2,BRFOR,BEANR,"['28 OCT', ' 19:44', 'UTC-03:00']","['13 NOV', ' 02:00', 'UTC+01:00']",755,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC']"
5,21 days,2,BRFOR,BEANR,"['28 OCT', ' 19:44', 'UTC-03:00']","['18 NOV', ' 16:00', 'UTC+01:00']",760,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd, W.E.C. Lines']"
6,22 days,2,BRFOR,BEANR,"['28 OCT', ' 19:44', 'UTC-03:00']","['19 NOV', ' 12:00', 'UTC+01:00']",780,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP'], ['LGP', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
7,12 days,2,BRFOR,BEANR,"['28 OCT', ' 19:44', 'UTC-03:00']","['9 NOV', ' 14:20', 'UTC+01:00']",795,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC']"
8,15 days,2,BRFOR,BEANR,"['27 OCT', ' 06:57', 'UTC-03:00']","['10 NOV', ' 22:00', 'UTC+01:00']",800,"[['FOR', 'PEC'], ['PEC', 'LPA'], ['LPA', 'ANR']]","['MSC', 'MSC']"
9,20 days,2,BRFOR,BEANR,"['28 OCT', ' 19:44', 'UTC-03:00']","['17 NOV', ' 22:00', 'UTC+01:00']",810,"[['FOR', 'PEC'], ['PEC', 'PTM'], ['PTM', 'ANR']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
10,24 days,2,BRFOR,BEANR,"['27 OCT', ' 00:00', 'UTC-03:00']","['20 NOV', ' 00:00', 'UTC+01:00']",810,"[['FOR', 'NAT', 'VGO', 'LGP', 'RTM', 'LEH'], ['LEH', 'LEH'], ['LEH', 'ANR']]","['CMA CGM', 'CMA CGM, COSCO, Evergreen']"
11,24 days,2,BRFOR,BEANR,"['11 NOV', ' 23:27', 'UTC-03:00']","['5 DEC', ' 22:00', 'UTC+01:00']",920,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP', 'HAM', 'BRV'], ['BRV', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
12,21 days,2,BRFOR,BEANR,"['28 OCT', ' 19:44', 'UTC-03:00']","['18 NOV', ' 06:00', 'UTC+01:00']",925,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP', 'BRV', 'HAM'], ['HAM', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
13,22 days,2,BRFOR,BEANR,"['31 OCT', ' 08:42', 'UTC-03:00']","['21 NOV', ' 19:00', 'UTC+01:00']",960,"[['FOR', 'PEC'], ['PEC', 'LPA', 'VLC'], ['VLC', 'ANR']]","['MSC', 'MSC']"
14,25 days,2,BRFOR,BEANR,"['29 OCT', ' 00:00', 'UTC-03:00']","['22 NOV', ' 10:03', 'UTC+01:00']",1430,"[['FOR', 'PTP', 'CTG'], ['CTG', 'CAU', 'RTM'], ['RTM', 'ANR']]","['CMA CGM', 'CMA CGM, COSCO, Hapag-Lloyd, OOCL']"
15,26 days,2,BRFOR,BEANR,"['29 OCT', ' 06:38', 'UTC-03:00']","['24 NOV', ' 10:00', 'UTC+01:00']",2020,"[['FOR', 'SUA'], ['SUA', 'CTB'], ['CTB', 'ANR']]","['MSC', 'MSC']"
16,12 days,2,BRFOR,NLVLI,"['28 OCT', ' 19:44', 'UTC-03:00']","['9 NOV', ' 13:28', 'UTC+01:00']",775,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'VLI']]","['Hapag-Lloyd, MSC']"
17,28 days,2,BRFOR,NLVLI,"['27 OCT', ' 00:00', 'UTC-03:00']","['24 NOV', ' 01:38', 'UTC+01:00']",895,"[['FOR', 'NAT', 'VGO', 'LGP', 'RTM'], ['RTM', 'SOU', 'ANR'], ['ANR', 'VLI']]","['CMA CGM', 'CMA CGM, COSCO, Evergreen, OOCL']"
