UN_LOCODE;Maersk_name;origin/destination
CLARI;Arica, Chile;origin
BRBEL;Belem (Para), Brazil;origin
COBUN;Buenaventura (Valle Del Cauca), Colombia;origin
ARBUE;Buenos Aires (Buenos Aires), Argentina;origin
ARCMP;Campana (Buenos Aires), Argentina;origin
PYASU;Asuncion, Paraguay;origin
PYPIL;Pilar, Paraguay;origin
PECLL;Callao, Peru;origin
COSPC;Cartagena (Bolivar), Colombia;origin
CLCNL;Coronel, Chile;origin
VNDAD;Da Nang (Da Nang), Vietnam;origin
PYENO;Encarnacion, Paraguay;origin
GYGEO;Georgetown, Guyana;origin
ECGYE;Guayaquil, Ecuador;origin
VNHPH;Haiphong (Hai Phong), Vietnam;origin
VNSGN;Ho Chi Minh city - ICD Phuoc Long (Ho Chi Minh), Vietnam;origin
CLIQQ;Iquique, Chile;origin
BRITJ;Itajai (Santa Catarina), Brazil;origin
BRIOA;Itapoa (Santa Catarina), Brazil;origin
KHKOS;Sihanoukville, Cambodia;origin
VELAG;La Guaira, Venezuela;origin
CLLQN;Lirquen, Chile;origin
BRMAO;Manaus (Amazonas), Brazil;origin
UYMVD;Montevideo, Uruguay;origin
BRNVT;Navegantes (Santa Catarina), Brazil;origin
UYNVP;Nueva Palmira, Uruguay;origin
PEPAI;Paita, Peru;origin
SRPBM;Paramaribo, Suriname;origin
BRPNG;Paranagua (Parana), Brazil;origin
BRPEC;Pecem (Ceara), Brazil;origin
KHPNH;Phnom Penh, Cambodia;origin
BRPVH;Porto Velho (Rondonia), Brazil;origin
ECPSJ;Posorja - Guayas, Ecuador;origin
CLPAG;Puerto Angamos, Chile;origin
ECPBO;Puerto Bolivar - El Oro, Ecuador;origin
VEPBL;Puerto Cabello, Venezuela;origin
PYVLL;Villeta, Paraguay;origin
VNUIH;Qui Nhon (Binh Dinh), Vietnam;origin
BRRIO;Rio de Janeiro (Rio de Janeiro), Brazil;origin
BRRIG;Rio Grande (Rio Grande do Sul), Brazil;origin
ARROS;Rosario (Santa Fe), Argentina;origin
BRSSA;Salvador (Bahia), Brazil;origin
CLSAI;San Antonio, Chile;origin
CLSVE;San Vicente, Chile;origin
BRSTM;Santarem (Para), Brazil;origin
BRSSZ;Santos (Sao Paulo), Brazil;origin
BRSUA;Suape (Pernambuco), Brazil;origin
PYTER;Terport, Paraguay;origin
COTRB;Turbo (Antioquia), Colombia;origin
ARUSH;Ushuaia (Tierra del Fuego), Argentina;origin
CLVAP;Valparaiso, Chile;origin
BRVDC;Vila do Conde Pt/Barcarena;origin
BRVIX;Vitoria (Espirito Santo), Brazil;origin
VNVUT;Vung Tau (Ba Ria - Vung Tau), Vietnam;origin
ARZAE;ZARATE (Buenos Aires), Argentina;origin
NLAMS;Amsterdam (Noord-Holland), Netherlands;destination
BEANR;Antwerp (Antwerp), Belgium;destination
NLMOE;Moerdijk (Noord-Brabant), Netherlands;destination
NLRTM;Rotterdam (Zuid-Holland), Netherlands;destination
NLVLI;Vlissingen (Zeeland), Netherlands;destination
BEZEE;Zeebrugge (West Flanders), Belgium;destination
